internal_accession	sample_name	gb_accession	date_added	seq_accession
	gi|2326815096|gb|OL688751.1| Coxsackievirus A6 strain AS234/NC/CHN/2019 VP1 gene, partial cds	OL688751	2024-08-07	OL688751
	gi|2326815098|gb|OL688752.1| Coxsackievirus A6 strain AS363/NC/CHN/2019 VP1 gene, partial cds	OL688752	2024-08-07	OL688752
	gi|2326815100|gb|OL688753.1| Coxsackievirus A6 strain AS398/NC/CHN/2019 VP1 gene, partial cds	OL688753	2024-08-07	OL688753
	gi|2326815102|gb|OL688754.1| Coxsackievirus A6 strain AS435/NC/CHN/2019 VP1 gene, partial cds	OL688754	2024-08-07	OL688754
X0000189	AS216/NC/CHN/2020	PP465698	2024-08-13	PP465698
X0000164	AS218/NC/CHN/2020	PP465699	2024-08-13	PP465699
X0000152	AS219/NC/CHN/2020	PP465700	2024-08-13	PP465700
X0000165	AS257/NC/CHN/2020	PP465701	2024-08-13	PP465701
X0000137	AS270/NC/CHN/2020	PP465702	2024-08-13	PP465702
X0000142	AS285/NC/CHN/2020	PP465703	2024-08-13	PP465703
X0000186	AS351/NC/CHN/2020	PP465704	2024-08-13	PP465704
X0000155	AS359/NC/CHN/2020	PP465705	2024-08-13	PP465705
X0000136	AS364/NC/CHN/2020	PP465706	2024-08-13	PP465706
X0000182	AS365/NC/CHN/2020	PP465707	2024-08-13	PP465707
